"filename", "language", "Markdown", "JavaScript", "TypeScript JSX", "HTML", "PowerShell", "JSON", "TypeScript", "CSS", "Ignore", "SQL", "YAML", "comment", "blank", "total"
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.eslintrc.cjs", "JavaScript", 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -27
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.github\workflows\deployextra.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, -8, -9, -70
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.prettierrc", "JSON", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\HowToStart.md", "Markdown", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -26
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\Readme.md", "Markdown", -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -110
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\README.md", "Markdown", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -34
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database\createusers.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -2, -10
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database\feedback.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, -10
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database\jaksec.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, -190, 0, -35, -40, -265
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\ecosystem.config.cjs", "JavaScript", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\package.json", "JSON", 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, -1, -81
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\config\createPool.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, 0, -25, -7, -79
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\admincontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -46, -3, -92
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\attendancecontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -189, 0, 0, 0, 0, -92, -22, -303
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\coursecontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -349, 0, 0, 0, 0, -87, -31, -467
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\lecturecontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -101, 0, 0, 0, 0, -42, -17, -160
"c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\topicgroupcontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -166, 0, 0, 0, 0, -48, -10, -224
