Date : 2024-03-14 12:16:37
Directory : h:\inde\JakSurveillance
Total : 376 files,  2972 codes, 209 comments, 242 blanks, all 3423 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        225 |      2,094 |        109 |        186 |      2,389 |
| TypeScript     |         91 |        872 |         85 |         53 |      1,010 |
| Markdown       |         10 |          3 |          0 |          1 |          4 |
| JavaScript     |         10 |          2 |          0 |          0 |          2 |
| JSON           |         18 |          1 |          0 |          0 |          1 |
| HTML           |          2 |          0 |          0 |          0 |          0 |
| PowerShell     |          6 |          0 |         15 |          2 |         17 |
| CSS            |          4 |          0 |          0 |          0 |          0 |
| Ignore         |          2 |          0 |          0 |          0 |          0 |
| SQL            |          6 |          0 |          0 |          0 |          0 |
| YAML           |          2 |          0 |          0 |          0 |          0 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        200 |     19,803 |      4,186 |      1,649 |     25,638 |
| . (Files)                                                                                                                               |          9 |        271 |         30 |         65 |        366 |
| .github                                                                                                                                 |          1 |         53 |          8 |          9 |         70 |
| .github\workflows                                                                                                                       |          1 |         53 |          8 |          9 |         70 |
| backend                                                                                                                                 |         51 |      6,475 |      2,327 |        545 |      9,347 |
| backend (Files)                                                                                                                         |          5 |        154 |          0 |         20 |        174 |
| backend\database                                                                                                                        |          3 |        207 |         36 |         42 |        285 |
| backend\src                                                                                                                             |         43 |      6,114 |      2,291 |        483 |      8,888 |
| backend\src (Files)                                                                                                                     |          3 |        150 |        220 |         32 |        402 |
| backend\src\config                                                                                                                      |          1 |         47 |         25 |          7 |         79 |
| backend\src\controllers                                                                                                                 |          5 |        847 |        315 |         83 |      1,245 |
| backend\src\models                                                                                                                      |         15 |      2,080 |      1,015 |        184 |      3,279 |
| backend\src\routes                                                                                                                      |          6 |      2,171 |        456 |         94 |      2,721 |
| backend\src\routes (Files)                                                                                                              |          4 |      1,583 |        294 |         67 |      1,944 |
| backend\src\routes\course                                                                                                               |          2 |        588 |        162 |         27 |        777 |
| backend\src\sockets                                                                                                                     |          1 |        486 |        126 |         36 |        648 |
| backend\src\tests                                                                                                                       |          1 |         43 |          2 |          6 |         51 |
| backend\src\utils                                                                                                                       |         11 |        290 |        132 |         41 |        463 |
| c:\                                                                                                                                     |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
| c:\Users                                                                                                                                |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
| c:\Users\moxch                                                                                                                          |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
| c:\Users\moxch\OneDrive                                                                                                                 |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
| c:\Users\moxch\OneDrive\Asiakirjat                                                                                                      |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub                                                                                               |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance                                                                               |        176 |    -16,831 |     -3,977 |     -1,407 |    -22,215 |
