"filename", "language", "Markdown", "JavaScript", "TypeScript JSX", "HTML", "PowerShell", "JSON", "TypeScript", "CSS", "Ignore", "SQL", "YAML", "comment", "blank", "total"
"h:\inde\JakSurveillance\.eslintrc.cjs", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"h:\inde\JakSurveillance\.github\workflows\deployextra.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 8, 9, 70
"h:\inde\JakSurveillance\.prettierrc", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"h:\inde\JakSurveillance\HowToStart.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26
"h:\inde\JakSurveillance\Readme.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 112
"h:\inde\JakSurveillance\StudentCustomQrScanner.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"h:\inde\JakSurveillance\backend\README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 34
"h:\inde\JakSurveillance\backend\database\createusers.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 10
"h:\inde\JakSurveillance\backend\database\feedback.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"h:\inde\JakSurveillance\backend\database\jaksec.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 35, 40, 265
"h:\inde\JakSurveillance\backend\ecosystem.config.cjs", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"h:\inde\JakSurveillance\backend\package.json", "JSON", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 81
"h:\inde\JakSurveillance\backend\src\config\createPool.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 25, 7, 79
"h:\inde\JakSurveillance\backend\src\controllers\admincontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 46, 3, 92
"h:\inde\JakSurveillance\backend\src\controllers\attendancecontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 92, 22, 302
"h:\inde\JakSurveillance\backend\src\controllers\coursecontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 87, 31, 467
"h:\inde\JakSurveillance\backend\src\controllers\lecturecontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 42, 17, 160
"h:\inde\JakSurveillance\backend\src\controllers\topicgroupcontroller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 48, 10, 224
"h:\inde\JakSurveillance\backend\src\jaksecfileserver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 34, 8, 56
"h:\inde\JakSurveillance\backend\src\jaksecserver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 69, 16, 135
"h:\inde\JakSurveillance\backend\src\models\attendancemodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 79, 26, 337
"h:\inde\JakSurveillance\backend\src\models\courseinstructormodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 7, 4, 26
"h:\inde\JakSurveillance\backend\src\models\coursemodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 457, 0, 0, 0, 0, 234, 24, 715
"h:\inde\JakSurveillance\backend\src\models\coursetopicmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 12, 5, 41
"h:\inde\JakSurveillance\backend\src\models\lecturemodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 181, 18, 506
"h:\inde\JakSurveillance\backend\src\models\rolemodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 45, 9, 115
"h:\inde\JakSurveillance\backend\src\models\serversettingsmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 20, 3, 66
"h:\inde\JakSurveillance\backend\src\models\studentgroupmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 44, 11, 119
"h:\inde\JakSurveillance\backend\src\models\topicgroupmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 66, 15, 189
"h:\inde\JakSurveillance\backend\src\models\topicingroupmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 21, 5, 50
"h:\inde\JakSurveillance\backend\src\models\topicmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 69, 7, 200
"h:\inde\JakSurveillance\backend\src\models\usercourse_topicsmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 27, 10, 98
"h:\inde\JakSurveillance\backend\src\models\usercoursemodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 45, 6, 130
"h:\inde\JakSurveillance\backend\src\models\userfeedbackmodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 20, 6, 65
"h:\inde\JakSurveillance\backend\src\models\usermodel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 442, 0, 0, 0, 0, 145, 35, 622
"h:\inde\JakSurveillance\backend\src\routes\adminroutes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 587, 0, 0, 0, 0, 93, 21, 701
