Date : 2024-03-14 12:16:37
Directory : h:\inde\JakSurveillance
Total : 200 files,  19803 codes, 4186 comments, 1649 blanks, all 25638 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        123 |     11,577 |      1,769 |        924 |     14,270 |
| TypeScript     |         47 |      7,196 |      2,336 |        542 |     10,074 |
| JSON           |          9 |        274 |          2 |          9 |        285 |
| SQL            |          3 |        207 |         36 |         42 |        285 |
| Markdown       |          5 |        183 |          0 |         77 |        260 |
| JavaScript     |          5 |        130 |          5 |         12 |        147 |
| CSS            |          2 |         96 |          0 |         16 |        112 |
| YAML           |          1 |         53 |          8 |          9 |         70 |
| PowerShell     |          3 |         49 |         30 |         15 |         94 |
| HTML           |          1 |         37 |          0 |          3 |         40 |
| Ignore         |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        200 |     19,803 |      4,186 |      1,649 |     25,638 |
| . (Files)                                                                                             |          9 |        271 |         30 |         65 |        366 |
| .github                                                                                               |          1 |         53 |          8 |          9 |         70 |
| .github\workflows                                                                                     |          1 |         53 |          8 |          9 |         70 |
| backend                                                                                               |         51 |      6,475 |      2,327 |        545 |      9,347 |
| backend (Files)                                                                                       |          5 |        154 |          0 |         20 |        174 |
| backend\database                                                                                      |          3 |        207 |         36 |         42 |        285 |
| backend\src                                                                                           |         43 |      6,114 |      2,291 |        483 |      8,888 |
| backend\src (Files)                                                                                   |          3 |        150 |        220 |         32 |        402 |
| backend\src\config                                                                                    |          1 |         47 |         25 |          7 |         79 |
| backend\src\controllers                                                                               |          5 |        847 |        315 |         83 |      1,245 |
| backend\src\models                                                                                    |         15 |      2,080 |      1,015 |        184 |      3,279 |
| backend\src\routes                                                                                    |          6 |      2,171 |        456 |         94 |      2,721 |
| backend\src\routes (Files)                                                                            |          4 |      1,583 |        294 |         67 |      1,944 |
| backend\src\routes\course                                                                             |          2 |        588 |        162 |         27 |        777 |
| backend\src\sockets                                                                                   |          1 |        486 |        126 |         36 |        648 |
| backend\src\tests                                                                                     |          1 |         43 |          2 |          6 |         51 |
| backend\src\utils                                                                                     |         11 |        290 |        132 |         41 |        463 |
| frontend                                                                                              |        137 |     12,954 |      1,821 |      1,017 |     15,792 |
| frontend (Files)                                                                                      |         10 |        304 |         23 |         31 |        358 |
| frontend\src                                                                                          |        127 |     12,650 |      1,798 |        986 |     15,434 |
| frontend\src (Files)                                                                                  |          3 |         41 |         14 |          8 |         63 |
| frontend\src\components                                                                               |         45 |      4,405 |        636 |        319 |      5,360 |
| frontend\src\components (Files)                                                                       |          1 |         19 |          9 |          3 |         31 |
| frontend\src\components\main                                                                          |         43 |      4,256 |        600 |        306 |      5,162 |
| frontend\src\components\main (Files)                                                                  |          5 |        400 |         70 |         41 |        511 |
| frontend\src\components\main\admin                                                                    |          3 |        454 |         35 |         35 |        524 |
| frontend\src\components\main\background                                                               |          1 |         38 |          9 |          5 |         52 |
| frontend\src\components\main\buttons                                                                  |          4 |         81 |         23 |         11 |        115 |
| frontend\src\components\main\cards                                                                    |          2 |         44 |          9 |          7 |         60 |
| frontend\src\components\main\course                                                                   |         16 |      2,619 |        365 |        156 |      3,140 |
| frontend\src\components\main\course (Files)                                                           |          4 |      1,057 |        145 |         58 |      1,260 |
| frontend\src\components\main\course\attendance                                                        |          5 |        659 |        102 |         52 |        813 |
| frontend\src\components\main\course\createcourse                                                      |          7 |        903 |        118 |         46 |      1,067 |
| frontend\src\components\main\course\createcourse (Files)                                              |          6 |        865 |        109 |         44 |      1,018 |
| frontend\src\components\main\course\createcourse\coursedetails                                        |          1 |         38 |          9 |          2 |         49 |
| frontend\src\components\main\dropdown                                                                 |          1 |         52 |         15 |          4 |         71 |
| frontend\src\components\main\modals                                                                   |          6 |        437 |         59 |         27 |        523 |
| frontend\src\components\main\newUser                                                                  |          4 |        119 |          2 |         16 |        137 |
| frontend\src\components\main\titles                                                                   |          1 |         12 |         13 |          4 |         29 |
| frontend\src\components\profiles                                                                      |          1 |        130 |         27 |         10 |        167 |
| frontend\src\contexts                                                                                 |          1 |         41 |         25 |          3 |         69 |
| frontend\src\css                                                                                      |          2 |         96 |          0 |         16 |        112 |
| frontend\src\hooks                                                                                    |          2 |      1,042 |         28 |         54 |      1,124 |
| frontend\src\routes                                                                                   |         14 |        314 |        110 |         39 |        463 |
| frontend\src\routes (Files)                                                                           |          5 |        153 |         37 |         20 |        210 |
| frontend\src\routes\admin                                                                             |          4 |         60 |         27 |          9 |         96 |
| frontend\src\routes\counselor                                                                         |          1 |         22 |          9 |          2 |         33 |
| frontend\src\routes\teacher                                                                           |          4 |         79 |         37 |          8 |        124 |
| frontend\src\routes\teacher (Files)                                                                   |          3 |         62 |         28 |          6 |         96 |
| frontend\src\routes\teacher\create                                                                    |          1 |         17 |          9 |          2 |         28 |
| frontend\src\utils                                                                                    |          1 |        232 |         57 |         21 |        310 |
| frontend\src\views                                                                                    |         59 |      6,479 |        928 |        526 |      7,933 |
| frontend\src\views (Files)                                                                            |          3 |        135 |         76 |         31 |        242 |
| frontend\src\views\main                                                                               |         56 |      6,344 |        852 |        495 |      7,691 |
| frontend\src\views\main (Files)                                                                       |          5 |        428 |         42 |         21 |        491 |
| frontend\src\views\main\admin                                                                         |         17 |      2,457 |        196 |        172 |      2,825 |
| frontend\src\views\main\admin (Files)                                                                 |         13 |      1,838 |         96 |        130 |      2,064 |
| frontend\src\views\main\admin\Courses                                                                 |          2 |        374 |         34 |         29 |        437 |
| frontend\src\views\main\admin\Lectures                                                                |          1 |        188 |          2 |          8 |        198 |
| frontend\src\views\main\admin\Users                                                                   |          1 |         57 |         64 |          5 |        126 |
| frontend\src\views\main\counselor                                                                     |          9 |        180 |        142 |         26 |        348 |
| frontend\src\views\main\counselor (Files)                                                             |          4 |         95 |         78 |         12 |        185 |
| frontend\src\views\main\counselor\students                                                            |          5 |         85 |         64 |         14 |        163 |
| frontend\src\views\main\student                                                                       |          7 |        602 |        148 |         60 |        810 |
| frontend\src\views\main\teacher                                                                       |         18 |      2,677 |        324 |        216 |      3,217 |
| frontend\src\views\main\teacher (Files)                                                               |          3 |        197 |         24 |         18 |        239 |
| frontend\src\views\main\teacher\Attendance                                                            |          3 |        871 |        129 |         68 |      1,068 |
| frontend\src\views\main\teacher\Courses                                                               |          6 |        831 |         80 |         66 |        977 |
| frontend\src\views\main\teacher\Lectures                                                              |          1 |        177 |          2 |         11 |        190 |
| frontend\src\views\main\teacher\Students                                                              |          5 |        601 |         89 |         53 |        743 |
| serversideconf                                                                                        |          2 |         50 |          0 |         13 |         63 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                              | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| h:\inde\JakSurveillance\.eslintrc.cjs                                                                 | JavaScript     |         26 |          0 |          1 |         27 |
| h:\inde\JakSurveillance\.github\workflows\deployextra.yml                                             | YAML           |         53 |          8 |          9 |         70 |
| h:\inde\JakSurveillance\.prettierrc                                                                   | JSON           |         10 |          0 |          1 |         11 |
| h:\inde\JakSurveillance\HowToStart.md                                                                 | Markdown       |         16 |          0 |         10 |         26 |
| h:\inde\JakSurveillance\Readme.md                                                                     | Markdown       |         84 |          0 |         28 |        112 |
| h:\inde\JakSurveillance\StudentCustomQrScanner.tsx                                                    | TypeScript JSX |         65 |          0 |          9 |         74 |
| h:\inde\JakSurveillance\backend\README.md                                                             | Markdown       |         18 |          0 |         16 |         34 |
| h:\inde\JakSurveillance\backend\database\createusers.sql                                              | SQL            |          7 |          1 |          2 |         10 |
| h:\inde\JakSurveillance\backend\database\feedback.sql                                                 | SQL            |         10 |          0 |          0 |         10 |
| h:\inde\JakSurveillance\backend\database\jaksec.sql                                                   | SQL            |        190 |         35 |         40 |        265 |
| h:\inde\JakSurveillance\backend\ecosystem.config.cjs                                                  | JavaScript     |         22 |          0 |          1 |         23 |
| h:\inde\JakSurveillance\backend\package.json                                                          | JSON           |         80 |          0 |          1 |         81 |
| h:\inde\JakSurveillance\backend\src\config\createPool.ts                                              | TypeScript     |         47 |         25 |          7 |         79 |
| h:\inde\JakSurveillance\backend\src\controllers\admincontroller.ts                                    | TypeScript     |         43 |         46 |          3 |         92 |
| h:\inde\JakSurveillance\backend\src\controllers\attendancecontroller.ts                               | TypeScript     |        188 |         92 |         22 |        302 |
| h:\inde\JakSurveillance\backend\src\controllers\coursecontroller.ts                                   | TypeScript     |        349 |         87 |         31 |        467 |
| h:\inde\JakSurveillance\backend\src\controllers\lecturecontroller.ts                                  | TypeScript     |        101 |         42 |         17 |        160 |
| h:\inde\JakSurveillance\backend\src\controllers\topicgroupcontroller.ts                               | TypeScript     |        166 |         48 |         10 |        224 |
| h:\inde\JakSurveillance\backend\src\jaksecfileserver.ts                                               | TypeScript     |         14 |         34 |          8 |         56 |
| h:\inde\JakSurveillance\backend\src\jaksecserver.ts                                                   | TypeScript     |         50 |         69 |         16 |        135 |
| h:\inde\JakSurveillance\backend\src\models\attendancemodel.ts                                         | TypeScript     |        232 |         79 |         26 |        337 |
| h:\inde\JakSurveillance\backend\src\models\courseinstructormodel.ts                                   | TypeScript     |         15 |          7 |          4 |         26 |
| h:\inde\JakSurveillance\backend\src\models\coursemodel.ts                                             | TypeScript     |        457 |        234 |         24 |        715 |
| h:\inde\JakSurveillance\backend\src\models\coursetopicmodel.ts                                        | TypeScript     |         24 |         12 |          5 |         41 |
| h:\inde\JakSurveillance\backend\src\models\lecturemodel.ts                                            | TypeScript     |        307 |        181 |         18 |        506 |
| h:\inde\JakSurveillance\backend\src\models\rolemodel.ts                                               | TypeScript     |         61 |         45 |          9 |        115 |
| h:\inde\JakSurveillance\backend\src\models\serversettingsmodel.ts                                     | TypeScript     |         43 |         20 |          3 |         66 |
| h:\inde\JakSurveillance\backend\src\models\studentgroupmodel.ts                                       | TypeScript     |         64 |         44 |         11 |        119 |
| h:\inde\JakSurveillance\backend\src\models\topicgroupmodel.ts                                         | TypeScript     |        108 |         66 |         15 |        189 |
| h:\inde\JakSurveillance\backend\src\models\topicingroupmodel.ts                                       | TypeScript     |         24 |         21 |          5 |         50 |
| h:\inde\JakSurveillance\backend\src\models\topicmodel.ts                                              | TypeScript     |        124 |         69 |          7 |        200 |
| h:\inde\JakSurveillance\backend\src\models\usercourse_topicsmodel.ts                                  | TypeScript     |         61 |         27 |         10 |         98 |
| h:\inde\JakSurveillance\backend\src\models\usercoursemodel.ts                                         | TypeScript     |         79 |         45 |          6 |        130 |
| h:\inde\JakSurveillance\backend\src\models\userfeedbackmodel.ts                                       | TypeScript     |         39 |         20 |          6 |         65 |
| h:\inde\JakSurveillance\backend\src\models\usermodel.ts                                               | TypeScript     |        442 |        145 |         35 |        622 |
| h:\inde\JakSurveillance\backend\src\routes\adminroutes.ts                                             | TypeScript     |        587 |         93 |         21 |        701 |
| h:\inde\JakSurveillance\backend\src\routes\course\attendanceRoutes.ts                                 | TypeScript     |        410 |        123 |         16 |        549 |
| h:\inde\JakSurveillance\backend\src\routes\course\topicRoutes.ts                                      | TypeScript     |        178 |         39 |         11 |        228 |
| h:\inde\JakSurveillance\backend\src\routes\courseroutes.ts                                            | TypeScript     |        593 |        141 |         30 |        764 |
| h:\inde\JakSurveillance\backend\src\routes\secureroutes.ts                                            | TypeScript     |        190 |         32 |          6 |        228 |
| h:\inde\JakSurveillance\backend\src\routes\userroutes.ts                                              | TypeScript     |        213 |         28 |         10 |        251 |
| h:\inde\JakSurveillance\backend\src\sockets\socketHandlers.ts                                         | TypeScript     |        486 |        126 |         36 |        648 |
| h:\inde\JakSurveillance\backend\src\tests\checkRole.test.ts                                           | TypeScript     |         43 |          2 |          6 |         51 |
| h:\inde\JakSurveillance\backend\src\types.ts                                                          | TypeScript     |         86 |        117 |          8 |        211 |
| h:\inde\JakSurveillance\backend\src\utils\auth.ts                                                     | TypeScript     |         58 |          8 |          1 |         67 |
| h:\inde\JakSurveillance\backend\src\utils\checkRole.ts                                                | TypeScript     |         10 |          6 |          2 |         18 |
| h:\inde\JakSurveillance\backend\src\utils\doFetch.ts                                                  | TypeScript     |         34 |         16 |          7 |         57 |
| h:\inde\JakSurveillance\backend\src\utils\errors.ts                                                   | TypeScript     |         13 |         16 |          4 |         33 |
| h:\inde\JakSurveillance\backend\src\utils\getToken.ts                                                 | TypeScript     |         23 |          4 |          3 |         30 |
| h:\inde\JakSurveillance\backend\src\utils\logger.ts                                                   | TypeScript     |         13 |         22 |          8 |         43 |
| h:\inde\JakSurveillance\backend\src\utils\opendata.ts                                                 | TypeScript     |         39 |         16 |          4 |         59 |
| h:\inde\JakSurveillance\backend\src\utils\pass.ts                                                     | TypeScript     |         35 |         18 |          6 |         59 |
| h:\inde\JakSurveillance\backend\src\utils\readLogFile.ts                                              | TypeScript     |         33 |         19 |          2 |         54 |
| h:\inde\JakSurveillance\backend\src\utils\settingFetcher.ts                                           | TypeScript     |         22 |          0 |          2 |         24 |
| h:\inde\JakSurveillance\backend\src\utils\validate.ts                                                 | TypeScript     |         10 |          7 |          2 |         19 |
| h:\inde\JakSurveillance\backend\tsconfig.json                                                         | JSON           |         20 |          0 |          1 |         21 |
| h:\inde\JakSurveillance\backend\typedoc.json                                                          | JSON           |         14 |          0 |          1 |         15 |
| h:\inde\JakSurveillance\console.ps1                                                                   | PowerShell     |         25 |          9 |          8 |         42 |
| h:\inde\JakSurveillance\frontend\README.md                                                            | Markdown       |         16 |          0 |         10 |         26 |
